id,carat,cut,color,clarity,depth,table,x,y,z,theta1,theta2,price
30624,0.28,Ideal,I,VS1,61.8,55.0,4.2,4.25,2.61,6,20,448
40592,0.28,Ideal,I,VVS2,62.2,55.0,4.21,4.24,2.63,6,23,497
40593,0.28,Ideal,G,VS2,62.2,54.0,4.21,4.24,2.63,6,27,497
40594,0.28,Ideal,H,VS1,62.0,55.0,4.21,4.24,2.62,6,33,497
40595,0.28,Ideal,H,VS1,61.8,57.0,4.2,4.22,2.6,7,5,497
12690,0.28,Ideal,E,VS1,62.0,57.0,4.17,4.2,2.59,7,7,598
45632,0.28,'Very Good',H,VVS1,62.9,54.0,4.2,4.23,2.65,7,8,525
29073,0.28,'Very Good',E,IF,59.6,55.0,4.24,4.31,2.55,7,9,688
43618,0.28,Ideal,G,VS2,62.1,56.0,4.19,4.23,2.61,7,11,508
32305,0.28,Ideal,G,SI1,61.2,54.0,4.22,4.27,2.6,7,14,455
41943,0.28,'Very Good',H,VVS1,61.5,58.0,4.17,4.22,2.58,7,15,504
41942,0.28,Premium,G,VVS2,60.2,60.0,4.24,4.26,2.56,7,18,504
41941,0.28,'Very Good',H,VVS1,59.9,62.0,4.23,4.28,2.55,7,19,504
26690,0.28,'Very Good',H,VS1,61.9,56.0,4.22,4.24,2.61,7,20,429
37265,0.28,Ideal,H,VS1,62.3,55.0,4.21,4.24,2.63,7,25,481
38281,0.28,'Very Good',F,VS2,62.7,58.0,4.14,4.15,2.6,7,27,487
33410,0.28,Premium,E,VVS1,61.3,60.0,4.21,4.18,2.57,7,29,828
33408,0.28,Premium,E,VVS1,62.9,52.0,4.21,4.18,2.64,7,30,828
37267,0.28,Ideal,F,SI1,60.6,55.0,4.26,4.3,2.6,7,31,481
33407,0.28,Ideal,E,VVS2,60.3,57.0,4.25,4.21,2.55,7,33,828
33406,0.28,Ideal,E,VVS2,62.1,56.0,4.21,4.19,2.61,8,5,828
33404,0.28,Ideal,E,VVS1,62.0,56.0,4.23,4.19,2.61,8,7,828
33403,0.28,Premium,E,VVS2,60.1,59.0,4.26,4.22,2.55,8,8,828
33402,0.28,Ideal,F,IF,62.4,55.0,4.2,4.17,2.61,8,9,828
35963,0.28,Ideal,H,VS1,62.2,54.0,4.18,4.21,2.61,8,11,476
11061,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,8,13,596
26691,0.28,'Very Good',H,VS1,61.9,56.0,4.18,4.2,2.59,8,14,429
17056,0.28,Good,E,IF,64.6,58.0,4.09,4.12,2.65,8,15,612
65,0.28,Ideal,G,VVS2,61.4,56.0,4.19,4.22,2.58,8,16,553
33409,0.28,Premium,E,VVS1,61.1,60.0,4.21,4.17,2.56,8,22,828
27370,0.28,Ideal,E,VVS1,62.0,56.0,4.19,4.23,2.61,8,23,646
27365,0.28,'Very Good',E,VVS1,61.1,60.0,4.17,4.21,2.56,8,24,646
32151,0.28,Ideal,F,VVS2,62.6,55.0,4.2,4.23,2.64,8,25,787
25363,0.28,'Very Good',E,VVS1,61.9,59.0,4.16,4.21,2.59,8,27,642
38298,0.28,Ideal,E,VS1,61.4,56.0,4.2,4.24,2.59,8,29,487
38284,0.28,'Very Good',F,VS1,62.1,59.0,4.16,4.21,2.6,8,30,487
38293,0.28,Ideal,D,VS2,61.2,57.0,4.2,4.23,2.58,8,31,487
38292,0.28,'Very Good',D,VS1,61.7,58.0,4.19,4.24,2.6,8,33,487
39948,0.28,Good,E,VVS1,64.6,55.0,4.15,4.18,2.69,9,5,492
11052,0.28,'Very Good',E,VVS2,61.4,60.0,4.18,4.22,2.58,9,7,596
3401,0.28,Premium,F,VS2,59.6,61.0,4.28,4.25,2.54,9,8,567
25368,0.28,Ideal,F,VVS2,61.8,56.0,4.22,4.26,2.62,9,9,642
38282,0.28,'Very Good',F,VS2,61.7,58.0,4.17,4.19,2.58,9,11,487
39941,0.28,'Very Good',G,VS2,,57.0,4.21,4.24,2.59,9,14,492
28627,0.28,'Very Good',E,VS1,62.8,60.0,4.16,4.21,2.63,9,15,434
38285,0.28,'Very Good',F,VS1,60.8,58.0,4.24,4.28,2.59,9,18,487
38286,0.28,'Very Good',F,VS1,61.0,59.0,4.18,4.24,2.57,9,23,487
19707,0.28,Good,E,VS2,63.7,60.0,4.23,4.18,2.68,9,24,625
25366,0.28,'Very Good',D,VVS1,60.4,59.0,4.23,4.25,2.56,9,25,642
25365,0.28,'Very Good',D,VVS1,60.6,58.0,4.23,4.25,2.57,9,27,642
32149,0.28,'Very Good',F,IF,59.8,56.0,4.27,4.29,2.56,9,29,787
38302,0.28,Ideal,E,VS1,62.0,56.0,4.18,4.21,2.6,9,30,487
32152,0.28,Ideal,F,VVS2,61.8,56.0,4.18,4.22,2.6,9,31,787
44650,0.28,Ideal,H,VVS2,62.0,57.0,4.21,4.24,2.62,9,33,522
32158,0.28,Ideal,E,VVS1,61.2,54.0,4.24,4.26,2.6,10,5,787
38283,0.28,'Very Good',F,VS2,60.8,58.0,4.19,4.26,2.57,10,11,487
32157,0.28,Ideal,E,VVS1,60.6,55.0,4.28,4.3,2.6,10,15,787
25357,0.28,'Very Good',D,VVS2,62.2,59.0,4.18,4.21,2.61,10,16,642
26693,0.28,'Very Good',H,VS1,62.4,56.0,4.2,4.23,2.63,10,19,429
32156,0.28,Ideal,E,VVS2,60.8,55.0,4.26,4.29,2.6,10,23,787
44644,0.28,'Very Good',H,VVS2,62.7,54.0,4.16,4.19,2.61,10,24,522
44645,0.28,'Very Good',H,VVS2,62.0,55.0,4.21,4.23,2.62,10,27,522
44651,0.28,Ideal,G,VVS1,62.7,55.0,4.16,4.2,2.62,10,33,522
44646,0.28,'Very Good',G,VVS2,61.4,55.0,4.21,4.24,2.59,11,5,522
39943,0.28,Good,F,VVS2,64.9,57.0,4.13,4.16,2.69,11,6,492
44649,0.28,'Very Good',G,VVS2,62.5,53.0,4.18,4.21,2.62,11,7,522
25361,0.28,'Very Good',F,VVS1,60.1,59.0,4.24,4.25,2.55,11,8,642
32154,0.28,Ideal,F,VVS2,62.2,53.0,4.22,4.23,2.63,11,9,787
44647,0.28,'Very Good',G,VVS2,62.3,56.0,4.16,4.19,2.6,11,10,522
25360,0.28,'Very Good',F,VVS1,62.9,57.0,4.13,4.17,2.61,11,11,642
32155,0.28,Ideal,F,VVS2,62.6,54.0,4.21,4.22,2.64,11,13,787
34267,0.29,'Very Good',H,VVS2,62.2,54.0,,4.26,2.64,11,15,466
18377,0.29,Good,E,VVS2,62.7,62.0,4.19,4.23,2.64,11,17,617
28489,0.29,Ideal,G,VVS1,60.2,56.0,4.29,4.33,2.59,11,19,673
34953,0.29,'Very Good',G,VS2,62.0,55.0,4.24,4.27,2.63,11,21,471
28490,0.29,Ideal,G,VVS1,61.5,56.0,4.25,4.28,2.62,11,23,673
28491,0.29,Ideal,G,VVS1,62.4,56.0,4.22,4.24,2.64,11,25,673
28503,0.29,Ideal,G,IF,61.3,55.0,4.25,4.28,2.61,11,27,673
28504,0.29,Ideal,G,IF,62.0,56.0,4.23,4.27,2.63,11,28,673
38266,0.29,'Very Good',I,VS2,62.4,55.0,4.25,4.27,2.66,11,29,384
18376,0.29,Good,E,VVS2,63.2,60.0,4.17,4.19,2.64,11,30,617
28520,0.29,'Very Good',E,VVS2,60.9,57.0,4.29,4.32,2.62,11,31,674
28127,0.29,'Very Good',F,VVS2,63.1,57.0,4.22,4.3,2.69,11,32,664
28128,0.29,'Very Good',F,VVS2,62.7,58.0,4.22,4.26,2.66,11,33,664
28129,0.29,'Very Good',F,VVS2,60.1,58.0,4.32,4.37,2.61,12,13,664
28130,0.29,'Very Good',E,VVS2,58.5,58.0,4.35,4.37,2.55,12,14,664
28131,0.29,'Very Good',D,VVS2,62.9,58.0,4.2,4.29,2.67,12,15,664
28132,0.29,'Very Good',D,VVS2,62.3,59.0,4.21,4.26,2.64,12,16,664
28133,0.29,'Very Good',F,VVS1,62.3,58.0,4.22,4.25,2.64,12,18,664
28134,0.29,'Very Good',E,VVS1,58.9,59.0,4.33,4.4,2.57,12,19,664
26677,0.29,'Very Good',G,VS1,62.1,59.0,4.22,4.25,2.63,12,22,426
22691,0.29,'Very Good',E,VVS1,60.9,61.0,4.23,4.27,2.59,12,23,629
18694,0.29,Ideal,E,VS1,60.6,55.0,4.33,4.35,2.63,12,25,619
18388,0.29,'Very Good',E,VS1,59.2,58.0,4.36,4.39,2.59,13,5,619
18387,0.29,'Very Good',E,VS1,60.0,57.0,4.33,4.34,2.6,13,7,619
28045,0.29,'Very Good',G,VS1,58.1,59.0,4.39,4.42,2.56,13,8,660
18692,0.29,Ideal,E,VS2,60.1,56.0,4.3,4.34,2.6,13,10,619
28412,0.29,Ideal,E,VVS2,62.0,55.0,4.25,4.27,2.64,13,11,669
28413,0.29,Ideal,F,VVS1,60.9,57.0,4.29,4.32,2.62,13,12,669
28414,0.29,Ideal,E,VVS1,62.7,55.0,4.2,4.22,2.64,13,15,669
29910,0.29,'Very Good',G,VS2,61.5,58.0,4.25,4.27,2.62,13,16,712
30443,0.29,'Very Good',F,VVS1,60.5,57.0,4.31,4.34,2.61,13,17,731
26698,0.29,Premium,I,VS2,62.4,58.0,4.23,4.2,2.63,13,18,429
47976,0.29,Ideal,G,VS1,61.9,55.0,4.25,4.28,2.64,13,19,532
28400,0.29,Premium,G,VVS1,62.0,58.0,4.23,4.19,2.61,13,22,669
41629,0.29,Good,F,VS1,64.4,54.0,4.21,4.24,2.72,13,23,504
36628,0.29,'Very Good',H,VVS1,62.0,55.0,4.24,4.27,2.64,13,27,478
15385,0.29,'Very Good',G,VVS1,61.6,56.0,4.24,4.27,2.62,13,30,607
15386,0.29,'Very Good',G,VVS1,62.0,55.0,4.27,4.29,2.65,13,32,607
15387,0.29,'Very Good',G,VVS1,61.5,57.0,4.24,4.27,2.62,13,33,607
15388,0.29,'Very Good',G,VVS1,61.4,56.0,4.25,4.28,2.62,14,7,607
46476,0.29,Fair,F,SI1,55.8,60.0,4.48,4.41,2.48,14,8,1776
15389,0.29,Ideal,H,VVS2,61.6,55.0,4.27,4.29,2.64,14,9,607
45649,0.29,Ideal,G,VS2,60.7,55.0,4.31,4.35,2.63,14,14,525
16681,0.29,Ideal,G,SI1,62.1,54.0,4.25,4.29,2.65,14,15,420
33087,0.29,'Very Good',F,IF,59.9,56.0,4.35,4.37,2.61,14,17,815
33097,0.29,Ideal,F,VVS1,61.7,55.0,4.25,4.28,2.63,14,20,815
33099,0.29,Ideal,E,IF,61.9,57.0,4.25,4.29,2.64,14,21,815
413,0.29,Ideal,F,VS1,61.6,56.0,4.26,4.31,2.64,14,23,555
49,0.29,'Very Good',H,SI2,60.7,60.0,4.33,4.37,2.64,14,24,404
40287,0.29,'Very Good',E,VS1,62.1,57.0,4.2,4.24,2.62,14,25,496
406,0.29,'Very Good',E,VS1,62.4,55.0,4.2,4.25,2.63,14,26,555
405,0.29,'Very Good',E,VS1,61.9,55.0,4.28,4.33,2.66,14,27,555
27375,0.29,Ideal,D,VS1,62.9,55.0,4.25,4.21,2.66,14,28,647
30176,0.29,Ideal,G,IF,61.3,56.0,4.26,4.29,2.62,14,29,721
2708,0.29,'Very Good',F,VVS1,61.5,56.0,4.26,4.3,2.63,14,30,563
49977,0.29,'Very Good',G,VVS2,60.2,59.0,4.27,4.3,2.58,14,31,541
49976,0.29,'Very Good',G,VVS2,61.6,56.0,4.24,4.28,2.63,14,32,541
41947,0.29,Ideal,D,VS1,61.7,57.0,4.23,4.26,2.62,14,33,504
45648,0.29,Ideal,G,VS2,61.6,56.0,4.26,4.29,2.63,15,6,525
43600,0.29,Ideal,G,VS1,62.2,54.0,4.23,4.26,2.64,15,7,507
41616,0.29,'Very Good',F,VS1,63.0,55.0,4.24,4.27,2.68,15,9,504
41617,0.29,'Very Good',F,VS1,61.2,58.0,4.24,4.29,2.61,15,11,504
41618,0.29,'Very Good',E,VS1,61.7,58.0,4.23,4.29,2.63,15,12,504
41620,0.29,'Very Good',E,VS1,61.8,59.0,4.21,4.27,2.62,15,19,504
12719,0.29,'Very Good',D,VVS2,59.1,61.0,4.33,4.37,2.57,15,21,600
32840,0.29,Premium,E,VVS1,60.9,61.0,4.27,4.23,2.59,15,22,807
41625,0.29,Ideal,F,VS2,61.6,56.0,4.28,4.32,2.65,15,23,504
16379,0.29,'Very Good',E,VVS1,59.5,61.0,4.29,4.31,2.56,15,28,609
37264,0.29,'Very Good',E,VS1,61.4,61.0,4.22,4.25,2.6,15,29,481
10075,0.29,'Very Good',F,VVS2,60.8,63.0,4.28,4.31,2.61,16,6,592
29548,0.29,'Very Good',D,SI2,59.7,56.0,4.37,4.4,2.62,16,7,705
10028,0.29,Good,F,VS1,62.1,56.0,4.24,4.26,2.64,16,9,415
49971,0.29,'Very Good',H,VVS2,61.2,56.0,4.26,4.29,2.61,16,13,541
49972,0.29,'Very Good',H,VVS2,61.7,55.0,4.27,4.3,2.64,16,14,541
49973,0.29,'Very Good',G,VVS2,62.2,55.0,4.24,4.27,2.64,16,15,541
49974,0.29,'Very Good',G,VVS2,60.9,57.0,4.28,4.32,2.61,16,16,541
49975,0.29,'Very Good',G,VVS2,61.9,56.0,4.27,4.3,2.65,16,17,541
23719,0.29,'Very Good',E,VVS2,61.4,58.0,4.25,4.31,2.63,16,18,633
41940,0.29,'Very Good',D,VS1,62.9,55.0,4.21,4.25,2.66,16,19,504
13021,0.29,Ideal,G,VVS2,61.3,56.0,4.23,4.25,2.6,16,20,600
16378,0.29,'Very Good',F,VVS1,59.8,61.0,4.31,4.35,2.59,16,21,609
41615,0.29,'Very Good',F,VS1,59.1,60.0,4.33,4.36,2.57,16,26,504
24035,0.29,Good,F,IF,56.8,65.0,4.37,4.4,2.49,16,28,633
45,0.29,Premium,F,SI1,62.4,58.0,4.24,4.26,2.65,16,29,403
40609,0.29,Ideal,H,VS1,61.8,57.0,4.27,4.31,2.64,16,32,498
52307,0.29,Premium,E,SI1,58.4,60.0,4.34,4.32,2.53,17,7,548
43977,0.29,Premium,F,SI1,62.4,58.0,4.26,4.24,2.65,17,10,518
40605,0.29,Ideal,H,VS2,62.8,55.0,4.24,4.27,2.67,17,11,498
15698,0.29,Ideal,H,IF,62.2,55.0,4.25,4.28,2.65,17,15,607
24034,0.29,Good,E,VVS2,62.7,61.0,4.2,4.22,2.64,17,16,633
29970,0.29,Ideal,F,VVS1,61.1,57.0,4.26,4.29,2.61,17,17,715
29941,0.29,'Very Good',H,VS1,62.2,56.0,4.24,4.27,2.64,17,20,444
29939,0.29,Ideal,F,VVS2,61.1,58.0,4.26,4.28,2.61,17,30,715
15699,0.29,Ideal,H,IF,60.7,57.0,4.3,4.33,2.62,17,31,607
33941,0.29,Ideal,H,VS1,62.4,54.0,4.23,4.26,2.65,18,5,464
15700,0.29,Ideal,H,IF,62.1,55.0,4.26,4.29,2.65,18,6,607
3,0.29,Premium,I,VS2,62.4,58.0,4.2,4.23,2.63,18,7,334
51970,0.29,Good,F,SI1,57.4,61.0,4.39,4.42,2.53,18,9,545
15691,0.29,Ideal,G,VVS2,60.7,54.0,4.33,4.37,2.64,18,10,607
15690,0.29,Ideal,G,VVS2,61.4,57.0,4.27,4.3,2.63,18,13,607
15692,0.29,Ideal,G,VVS2,61.9,56.0,4.24,4.25,2.62,18,14,607
15694,0.29,Ideal,H,VVS1,62.1,55.0,4.28,4.3,2.66,18,16,607
46648,0.3,'Very Good',G,VS2,63.0,55.0,4.29,4.31,2.71,18,17,526
46649,0.3,Good,H,VS1,63.3,57.0,4.22,4.25,2.68,18,18,526
35969,0.3,Ideal,G,SI1,61.0,58.0,4.29,4.36,2.64,18,20,477
35968,0.3,Ideal,G,SI1,62.3,58.0,4.26,4.28,2.66,18,21,477
30600,0.3,'Very Good',D,SI2,62.9,58.0,4.26,4.29,2.69,18,22,447
30601,0.3,'Very Good',G,SI1,61.6,59.0,4.26,4.28,2.63,18,23,447
35092,0.3,Ideal,F,IF,61.4,57.0,4.34,4.36,2.67,18,24,886
35091,0.3,Ideal,F,IF,61.7,57.0,4.28,4.31,2.65,18,27,886
30604,0.3,'Very Good',D,SI2,62.2,59.0,4.25,4.3,2.66,18,28,447
35826,0.3,Premium,D,VS1,61.2,59.0,4.34,4.29,2.64,18,32,914
35093,0.3,Ideal,F,IF,62.3,55.0,4.3,4.34,2.69,18,33,886
30671,0.3,'Very Good',G,VVS1,59.8,62.0,4.33,4.36,2.6,19,6,737
46646,0.3,'Very Good',G,VS2,60.8,61.0,4.31,4.34,2.63,19,7,526
35837,0.3,Ideal,E,VVS1,62.0,57.0,4.27,4.31,2.66,19,11,916
30702,0.3,'Very Good',F,VVS2,62.4,58.0,4.25,9428.922352789632,2.66,19,12,737
46639,0.3,Good,E,SI1,63.2,56.0,4.27,4.3,2.71,19,13,526
30701,0.3,Premium,G,VVS1,61.3,58.0,4.29,4.33,2.64,19,14,737
35095,0.3,Ideal,F,IF,61.7,58.0,4.3,4.32,2.66,19,15,886
46640,0.3,'Very Good',I,VVS2,60.1,63.0,4.28,4.31,2.58,19,17,526
30693,0.3,Premium,F,VVS2,61.4,59.0,4.31,4.36,2.66,19,19,737
35944,0.3,Ideal,F,SI1,62.4,56.0,4.27,4.32,2.68,19,21,475
46641,0.3,'Very Good',E,SI1,62.9,57.0,4.25,4.3,2.69,19,24,526
46642,0.3,Premium,E,SI1,61.3,60.0,4.24,4.28,2.61,19,26,526
30689,0.3,Premium,F,VVS2,61.5,58.0,4.29,4.31,2.64,19,28,737
35943,0.3,Ideal,F,SI1,61.9,56.0,4.3,4.32,2.67,19,32,475
46644,0.3,Premium,E,,60.6,58.0,4.3,4.34,2.62,19,33,526
35940,0.3,Ideal,H,SI1,62.4,52.8,4.28,4.33,2.69,20,5,475
46645,0.3,'Very Good',E,SI1,62.1,60.0,4.27,4.29,2.66,20,6,526
30682,0.3,'Very Good',G,VVS1,62.6,62.0,4.21,4.26,2.65,20,8,737
46647,0.3,'Very Good',E,SI1,61.9,58.0,4.27,4.33,2.66,20,12,526
35090,0.3,Ideal,F,IF,62.1,57.0,4.29,4.31,2.67,20,14,886
35086,0.3,Ideal,F,IF,61.8,58.0,4.27,4.3,2.65,20,17,886
35089,0.3,Ideal,F,IF,62.3,57.0,4.25,4.29,2.66,20,18,886
35956,0.3,Ideal,F,SI1,62.3,55.0,4.29,4.31,2.68,20,20,475
35955,0.3,Ideal,F,SI1,62.5,57.0,4.3,4.31,2.69,20,25,475
35954,0.3,Ideal,F,SI1,62.5,56.0,4.28,4.3,2.68,20,27,475
35953,0.3,Ideal,F,SI1,61.4,58.0,4.3,4.33,2.65,20,28,475
30650,0.3,Ideal,E,VS1,61.3,57.0,4.3,4.34,2.65,20,29,736
35088,0.3,Ideal,F,IF,62.4,56.0,4.26,4.3,2.67,20,30,886
30623,0.3,Premium,D,SI2,60.2,60.0,4.32,4.35,2.61,20,33,447
30635,0.3,Ideal,G,VVS1,60.9,56.8,4.34,4.38,2.65,21,5,735
35952,0.3,Ideal,F,SI1,61.9,57.0,4.31,4.35,2.68,21,8,475
35947,0.3,Ideal,F,SI1,62.4,55.0,4.3,4.32,2.69,21,10,475
35950,0.3,Ideal,F,SI1,61.4,55.0,4.34,4.36,2.67,21,11,475
30645,0.3,Ideal,F,VVS2,61.1,57.0,4.3,4.34,2.64,21,12,736
30646,0.3,Ideal,D,VS2,61.8,55.0,4.27,4.3,2.65,21,20,736
35949,0.3,Ideal,F,SI1,62.1,55.0,4.31,4.35,2.69,21,21,475
8399,0.3,'Very Good',E,VS2,61.6,61.0,4.26,4.31,2.64,21,23,585
35960,0.3,'Very Good',D,SI1,62.6,59.0,4.24,4.26,2.66,21,26,476
35948,0.3,Ideal,F,SI1,61.9,54.0,4.33,4.36,2.69,21,28,475
35087,0.3,Ideal,F,IF,61.8,56.0,4.29,4.32,2.66,21,29,886
30609,0.3,'Very Good',G,SI1,62.8,56.0,4.28,4.32,2.7,21,32,447
30665,0.3,Premium,F,VVS2,61.0,59.0,4.3,4.33,2.63,22,7,737
35871,0.3,Ideal,E,VVS1,61.1,56.0,4.36,4.38,2.67,22,9,918
30610,0.3,'Very Good',G,SI1,62.7,58.0,4.22,4.27,2.66,22,10,447
30621,0.3,'Very Good',G,SI1,61.4,57.0,4.31,4.35,2.66,22,13,447
30611,0.3,Good,D,SI2,63.4,56.0,4.26,4.29,2.71,22,17,447
30663,0.3,Premium,F,VVS2,61.1,59.0,4.29,4.32,2.63,22,18,737
30660,0.3,Premium,F,VVS2,61.6,58.0,4.28,4.35,2.66,22,23,737
30613,0.3,'Very Good',D,SI2,61.8,58.0,,4.32,2.66,22,25,447
30615,0.3,'Very Good',G,SI1,58.8,60.0,4.35,4.39,2.57,22,28,447
30616,0.3,'Very Good',G,SI1,59.5,63.0,4.29,4.32,2.56,22,31,447
35946,0.3,Ideal,F,SI1,62.3,54.0,4.3,4.34,2.69,22,32,475
30617,0.3,'Very Good',G,SI1,59.7,60.0,4.35,4.39,2.61,23,5,447
35951,0.3,Ideal,F,SI1,61.9,56.0,4.29,4.33,2.67,23,7,475
46637,0.3,Good,E,SI1,63.7,58.0,4.24,4.27,2.71,23,9,526
46307,0.3,'Very Good',H,VS1,62.9,57.0,4.26,4.29,2.69,23,11,526
46309,0.3,Premium,E,SI1,59.8,60.0,4.31,4.35,2.59,23,13,526
26680,0.3,'Very Good',J,VS1,59.5,60.0,4.39,4.45,2.63,23,14,427
26681,0.3,'Very Good',J,VS1,61.1,61.0,4.33,4.38,2.66,23,16,427
46311,0.3,Premium,I,VVS2,61.8,58.0,4.28,4.33,2.66,23,17,526
46312,0.3,Ideal,H,VS1,62.3,55.0,4.29,4.34,2.69,23,20,526
46313,0.3,Ideal,G,VS2,62.3,56.0,4.27,4.3,2.67,23,21,526
46314,0.3,Good,H,VS1,63.9,55.0,4.26,4.28,2.73,23,22,526
3747,0.3,Ideal,F,VS1,62.6,57.0,4.29,4.34,2.7,23,25,570
3746,0.3,Ideal,F,VS1,61.3,55.0,4.32,4.36,2.66,23,27,570
46315,0.3,'Very Good',H,VS1,60.4,61.0,4.3,4.34,2.61,23,30,526
46316,0.3,Good,E,SI1,63.1,53.0,4.27,4.32,2.71,23,31,526
46317,0.3,Good,G,VS2,63.9,55.0,4.27,4.28,2.73,24,7,526
46318,0.3,'Very Good',E,SI1,61.8,60.0,4.23,4.28,2.63,24,8,526
46319,0.3,Ideal,H,VS1,61.4,54.0,4.33,4.37,2.67,24,10,526
9719,0.3,Ideal,H,VVS2,62.7,53.0,4.29,4.32,2.7,24,12,590
9718,0.3,Ideal,H,VVS2,61.5,55.0,4.34,4.37,2.68,24,15,590
9717,0.3,Ideal,H,VVS2,62.1,54.0,4.32,4.35,2.69,24,20,590
9716,0.3,Ideal,H,VVS2,62.4,56.0,4.28,4.31,2.68,24,21,590
9715,0.3,Ideal,H,VVS2,62.2,57.0,4.26,4.29,2.66,24,22,590
3745,0.3,'Very Good',F,VS1,61.0,60.0,4.3,4.22,2.6,24,23,570
36277,0.3,Ideal,G,SI1,62.3,57.0,4.29,4.31,2.68,24,25,477
46306,0.3,Premium,E,SI1,62.5,59.0,4.28,4.3,2.68,24,26,526
46305,0.3,Good,E,SI1,63.6,57.0,4.22,4.24,2.69,24,28,526
46304,0.3,Ideal,G,VS2,61.7,56.0,4.31,4.35,2.67,24,30,526
46303,0.3,'Very Good',H,VS1,63.0,59.0,4.21,4.27,2.67,24,31,526
31096,0.3,'Very Good',G,VVS1,62.5,56.0,4.25,4.29,2.67,24,32,753
30446,0.3,Ideal,E,VVS2,61.2,61.0,4.3,4.33,2.64,24,33,731
25048,0.3,'Very Good',F,SI1,63.5,57.0,4.26,4.21,2.69,25,6,641
46292,0.3,'Very Good',G,VS2,61.4,54.0,4.31,4.36,2.66,25,7,526
30451,0.3,Ideal,F,VS1,61.3,55.0,4.36,4.32,2.66,25,9,731
46293,0.3,Ideal,E,SI1,61.9,57.0,4.29,4.33,2.67,25,10,526
46294,0.3,Good,E,VS2,63.3,55.0,4.26,4.3,2.71,25,11,526
46296,0.3,Premium,I,VVS2,61.0,60.0,4.3,4.36,2.64,25,12,526
46297,0.3,Good,H,VS1,63.1,57.0,4.24,4.26,2.68,25,13,526
36276,0.3,Ideal,G,SI1,62.3,56.0,4.27,4.3,2.67,25,15,477
30453,0.3,Good,F,VS1,63.7,56.0,4.28,4.26,2.72,25,17,731
30454,0.3,Ideal,F,VS1,62.6,57.0,4.34,4.29,2.7,25,18,731
52313,0.3,Ideal,F,SI1,60.9,55.0,4.34,4.38,2.66,25,21,550
30455,0.3,Ideal,F,VS1,61.7,56.0,4.34,4.32,2.67,25,22,731
30456,0.3,Premium,F,VS1,61.0,58.0,4.36,4.33,2.65,25,24,731
46299,0.3,'Very Good',G,VS2,63.0,56.0,4.27,4.3,2.7,25,25,526
46300,0.3,Ideal,H,VS1,61.3,56.0,4.31,4.33,2.65,25,26,526
30457,0.3,Premium,E,VS2,61.7,60.0,4.31,4.28,2.65,25,27,731
30452,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,25,28,731
36275,0.3,Ideal,G,SI1,62.0,58.0,4.27,4.29,2.65,25,29,477
3743,0.3,Ideal,F,VS1,61.0,56.0,4.35,4.37,2.66,25,31,570
3742,0.3,Ideal,F,VS1,61.7,56.0,4.32,4.34,2.67,25,32,570
